title,money,description,url,images
Embroidered Trousers - PE24-367 - XS,"Rs. 2,560.00 Rs. 1,536.00","Look and feel your best by wearing this embroidered trousers from the latest pret summer collection.
Product Detail
Embroidered Trousers
Trousers
Straight Trousers With Embroidered Hem
Fabric: Cambric
Color: White
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/collections/women/products/pe24-367,"image_1_11_1.jpg, image_1_11_2.jpg, image_1_11_3.jpg"
2 Piece - Printed Suit - PE24-344 - XS,"Rs. 4,570.00 Rs. 2,742.00","Illustrate your style with this printed two-piece suit from the latest pret summer collection. 
Product Detail
Printed Shirt With Trousers
Shirt
Band Neckline With Slit, Printed Shirt
Fabric: Cambric
Color: Multi
Trousers
Printed Straight Trousers
Fabric: Cambric
Color: Multi
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/products/pe24-344,"image_1_12_1.jpg, image_1_12_2.jpg, image_1_12_3.jpg"
2 Piece - Dyed Embroidered Suit - 42402143,"Rs. 4,290.00 Rs. 3,432.00","Look radiant with this dyed embroidered two-piece from the latest unstitched summer collection.
Product Detail:
Satin Embroidered Style Shirt with Trousers
SHIRT
Solid Cambric Shirt: 3 Meter
Embroidered Front + Sleeves + Border
Fabric: Cambric
Color: Off White
TROUSERS
Solid Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: Off White
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42402143,"image_1_13_1.jpg, image_1_13_2.jpg, image_1_13_3.jpg"
1 Piece - Printed Loose Fabric - 42403084 - Dupatta / 2.5 / 2.5,Rs. 670.00 Rs. 436.00,"Indulge in the grandeur of fashion, making a graceful statement with our printed one-piece from the latest freedom to buy summer collection.
Product Detail:
Gradient Printed Style Dupatta
DUPATTA
Dupatta: 2.5 Meter (RS 750/-Mtr)
Fabric: Voile
Color: Pink & Orange
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/products/42403084,"image_1_14_1.jpg, image_1_14_2.jpg, image_1_14_3.jpg"
1 Piece - Gold Printed Loose Fabric - 42403360 - Dupatta / 2.5 / 2.5,Rs. 880.00 Rs. 572.00,"Brighten up your wardrobe with this gold printed one-piece from the latest freedom to buy summer collection.
Product Detail:
Dotted Style Motifs In Printed Form Dupatta
Dupatta
Dupatta: 2.5 Meter (RS 850/-Mtr)
Fabric: Voile
Color: Purple
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/products/42403360,"image_1_15_1.jpg, image_1_15_2.jpg, image_1_15_3.jpg"
Basic Shirt - PS24-02 - XS,"Rs. 4,100.00 Rs. 2,460.00","Embrace style with elegance by wearing this basic shirt from the latest pret pre summer collection. 
Product Detail
Basic Shirt
Shirt
Band Neckline With Placket, Buttons & Top Stitching Detail At Paneled Cuff Sleeves, Button Down Shirt
Fabric: Jacquard
Color: Navy

Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/products/ps24-02,"image_1_16_1.jpg, image_1_16_2.jpg, image_1_16_3.jpg"
3 Piece - Printed Loose Fabric - 42403368 - Dupatta / 2.5 / 2.5,Rs. 455.00 - Rs. 533.00,"Uplift your look with printed three-piece from the latest freedom to buy summer collection.
Product Detail
Wallpaper Style Florals & Textured Shirt with Dupatta and Trousers 
SHIRT
Shirt: 3 Meter (RS 780/-Mtr) 
Fabric: Lawn
Color: Sea Green
DUPATTA
Dupatta: 2.5 Meter (RS 800/-Mtr) 
Fabric: Voile
Color: Beige
TROUSERS
Trousers: 2.5 Meter (RS 700/-Mtr) 
Fabric: Cambric
Color: Beige
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/products/42403368,"image_1_17_1.jpg, image_1_17_2.jpg, image_1_17_3.jpg"
3 Piece - Printed Embroidered Suit - 42401562,"Rs. 8,720.00 Rs. 5,668.00","Create effortlessly elegant & stylish look by wearing this digital printed embroidered three-piece from the latest unstitched summer collection.
Product Detail:
Embellished Patterns With Textures Style Shirt with Dupatta and Trousers
SHIRT
Digital Printed Zari Lawn Shirt: 3 Meter
Embroidered Neckline + Border
Fabric: Lawn
Color: Pink
DUPATTA
Digital Printed Zari Lawn Dupatta: 2.5 Meter
Fabric: Lawn
Color: Pink
TROUSERS
Dyed Cambric Trousers: 2.5 Meter
Fabric: Cambric
Color: Pink
Note:
Product color may slightly vary due to photographic lighting sources or your device settings.",https://nishatlinen.com/collections/women/products/42401562,"image_1_18_1.jpg, image_1_18_2.jpg, image_1_18_3.jpg"
Embroidered Shirt - PE24-68 - XS,"Rs. 5,650.00 Rs. 3,390.00","Embrace your inner radiance by wearing this embroidered shirt from the latest pret summer collection.  
Product Detail
Embroidered Shirt
Shirt
Round Neckline With Slit & Piping, Embroidered Neckline
Fabric: Jacquard
Color: Pink
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/collections/women/products/pe24-68,"image_1_19_1.jpg, image_1_19_2.jpg, image_1_19_3.jpg"
2 Piece - Printed Suit - PS24-142 - XS,"Rs. 7,690.00 Rs. 4,614.00","Get ready to shine in style by wearing this printed two-piece suit from the latest pret summer collection.
Product Detail
Printed Shirt With Dupatta
Shirt
Round Neckline With Button Details at Piping
Fabric: Lawn
Color: Black
Dupatta
Printed Dupatta
Fabric: Silk
Color: Black
Note:
Product color may vary slightly due to photographic lighting sources or monitor settings.",https://nishatlinen.com/products/ps24-142,"image_1_20_1.jpg, image_1_20_2.jpg, image_1_20_3.jpg"
